,species_name,diet_broad
c_crocuta3_landmark,Crocuta_crocuta,Carnivore
c_lupaster1_landmark,Canis_lupaster,Generalist
c_lupaster2_landmark,Canis_lupaster,Generalist
c_lupaster3_landmark,Canis_lupaster,Generalist
c_lupaster4_landmark,Canis_lupaster,Generalist
c_lupaster5_landmark,Canis_lupaster,Generalist
c_minimus1_landmark,Chironectes_minimus,Insectivore
c_minimus2_landmark,Chironectes_minimus,Insectivore
c_minimus3_landmark,Chironectes_minimus,Insectivore
c_minimus4_landmark,Chironectes_minimus,Insectivore
d_geoffroii2_landmark,Dasyurus_geoffroii,Generalist
d_maculatus1_landmark,Dasyurus_maculatus,Carnivore
d_maculatus2_landmark,Dasyurus_maculatus,Carnivore
d_maculatus3_landmark,Dasyurus_maculatus,Carnivore
d_maculatus4_landmark,Dasyurus_maculatus,Carnivore
d_marsupialis1_landmark,Didelphis_marsupialis,Carnivore
d_marsupialis2_landmark,Didelphis_marsupialis,Carnivore
d_marsupialis3_landmark,Didelphis_marsupialis,Carnivore
d_marsupialis4_landmark,Didelphis_marsupialis,Carnivore
g_gulo3_landmark,Gulo_gulo,Carnivore
h_yagouaroundi1_landmark,Herpailurus_yagouaroundi,Carnivore
h_yagouaroundi2_landmark,Herpailurus_yagouaroundi,Carnivore
h_yagouaroundi3_landmark,Herpailurus_yagouaroundi,Carnivore
l_crassicaudata1_landmark,Lutreolina_crassicaudata,Insectivore
l_crassicaudata2_landmark,Lutreolina_crassicaudata,Insectivore
l_gymnocercus1_landmark,Lycalopex_gymnocercus,Generalist
l_gymnocercus2_landmark,Lycalopex_gymnocercus,Generalist
l_gymnocercus3_landmark,Lycalopex_gymnocercus,Generalist
l_gymnocercus4_landmark,Lycalopex_gymnocercus,Generalist
l_lynx1_landmark,Lynx_lynx,Carnivore
l_lynx2_landmark,Lynx_lynx,Carnivore
l_lynx3_landmark,Lynx_lynx,Carnivore
l_pictus3_landmark,Lycaon_pictus,Carnivore
p_opossum1_landmark,Philander_opossum,Insectivore
p_opossum2_landmark,Philander_opossum,Insectivore
p_opossum3_landmark,Philander_opossum,Insectivore
p_opossum4_landmark,Philander_opossum,Insectivore
s_venaticus1_landmark,Speothos_venaticus,Carnivore
s_venaticus2_landmark,Speothos_venaticus,Carnivore
t_cynocephalus2_landmark,Thylacinus_cynocephalus,Carnivore
t_cynocephalus3_landmark,Thylacinus_cynocephalus,Carnivore
t_cynocephalus4_landmark,Thylacinus_cynocephalus,Carnivore
t_cynocephalus5_landmark,Thylacinus_cynocephalus,Carnivore
v_tangalunga1_landmark,Viverra_tangalunga,Insectivore
